rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_category,next_rental
565581,374698,mobile,ended,-16.0,,,Early,False
565675,318715,mobile,ended,107.0,,,Late: 1-2 hours,False
565927,173376,mobile,ended,49.0,,,Late: 30-60 mins,False
566027,414498,mobile,ended,32.0,,,Late: 30-60 mins,False
566123,404483,mobile,ended,142.0,,,Late: > 2 hours,False
566273,375908,mobile,ended,44.0,,,Late: 30-60 mins,False
566292,414708,mobile,ended,48.0,,,Late: 30-60 mins,False
566331,328506,mobile,ended,-97.0,,,Early,False
566385,211860,connect,ended,58.0,,,Late: 30-60 mins,False
566551,334671,mobile,ended,25.0,,,Late: 15-30 mins,False
566661,390467,connect,ended,-651.0,569297.0,570.0,Early,True
566682,293785,mobile,ended,66.0,,,Late: 1-2 hours,False
